district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
板橋區,房地(土地+建物),新北市板橋區四川路一段31~60號,1.54,商,,,1080629,土地1建物1車位0,六層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,820705,17.4,1,0,1,有,有,2100000,120690,,0,0,,RPOPMLQLPHOFFAF78DA
樹林區,房地(土地+建物)+車位,新北市樹林區學勤路241~270號,56.26,住,,,1080619,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,981109,240.94,3,2,2,有,有,19000000,78858,坡道平面,37.63,0,親友、員工或其他特殊關係間之交易。;,RPROMLPLPHOFFIF96CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區中原路1~30號,24.99,商,,,1080425,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981019,221.32,4,2,2,有,有,28000000,126514,坡道平面,0,0,,RPXPMLLMPHOFFGF17CA
三重區,房地(土地+建物)+車位,新北市三重區仁安街1~30號,25.24,住,,,1080619,土地1建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011026,191.93,3,2,2,有,有,20000000,104205,坡道機械,66.02,0,含增建或未登記建物。;,RPUOMLPLPHOFFGF07CA
新莊區,房地(土地+建物),新北市新莊區中原路91~120號,14.33,住,,,1080711,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850718,118.51,3,2,2,有,有,12500000,105476,,0,0,,RPRNMLLLQHOFFBF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區三民路二段61~90號,24.01,住,,,1080704,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030604,215.2,4,2,2,有,有,31800000,151681,升降機械,14.78,1400000,,RPRQMLTKQHOFFAF76CA
板橋區,房地(土地+建物),新北市板橋區金門街271~300號,20.23,住,,,1080703,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981229,119.3,3,2,2,有,有,12000000,100587,,0,0,,RPTQMLOLPHOFFAF09CA
新莊區,房地(土地+建物),新北市新莊區新泰路305巷31~60號,27.11,住,,,1080530,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820907,126.4,3,2,2,有,有,4092315,32376,,0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLKMPHOFFBF28CA
新莊區,房地(土地+建物),新北市新莊區四維路212巷4弄1~30號,14.15,住,,,1080513,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840117,105.759999999999,3,2,2,有,有,9800000,92663,,0,0,,RPOQMLLLQHOFFBF48CA
新店區,房地(土地+建物),新北市新店區中正路271~300號,18.43,住,,,1080408,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,750527,93.71,3,2,1,有,有,13800000,147263,,0,0,,RPVNMLPLPHOFFCF66CA
新店區,房地(土地+建物),新北市新店區安民街181~210號,13.9,住,,,1080403,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990812,111.94,3,2,2,有,有,11000000,98267,,0,0,二親等內之買賣,RPSOMLPJRHOFFCF09CA
汐止區,房地(土地+建物)+車位,新北市汐止區長興街二段50巷31~60號,22.37,住,,,1080618,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980117,147.77,3,2,2,有,有,8300000,56168,坡道平面,33.46,0,含增建或未登記建物。;,RPSPMLQJQHOFFDF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路1~30號,15.53,商,,,1080710,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060328,161.09,3,2,2,有,有,14000000,96527,坡道機械,24.34,800000,,RPRSMLQLPHOFFEF07CA
八里區,房地(土地+建物)+車位,新北市八里區頂罟一路61~90號,33.7,住,,,1080629,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071228,167.8,3,2,2,有,有,11700000,73645,坡道平面,27.94,1400000,,RPPNMLMJQHOFFEF48CA
八里區,房地(土地+建物)+車位,新北市八里區頂罟一路61~90號,32.24,住,,,1080629,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071228,161.6,3,2,2,有,有,10500000,68083,坡道平面,27.94,1400000,,RPQNMLMJQHOFFEF58CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,24.35,住,,,1030820,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,152.82,3,1,2,有,有,10900000,78227,坡道平面,30.1,1300000,,RPOTMLQJQHOFFEF76CA
