district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
板橋區,房地(土地+建物),新北市板橋區中山路二段553巷1~30號,40.05,住,,,1080609,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,148.99,4,2,2,有,無,18000000,120813,,0,0,含增建或未登記建物。;,RPVNMLTKPHOFFAF76CA
板橋區,房地(土地+建物),新北市板橋區中山路一段265巷1~30號,25.6,住,,,1080329,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681217,81.91,3,2,1,有,無,10000000,122085,,0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLMLPHOFFAF58CA
板橋區,房地(土地+建物),新北市板橋區光明街1~30號,13.86,住,,,1080620,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1041218,43.81,1,1,1,有,有,6700000,152933,,0,0,,RPWPMLMLPHOFFAF09CA
新莊區,房地(土地+建物),新北市新莊區八德街58巷1~30號,21.13,住,,,1080610,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750325,96.24,3,2,2,有,無,7000000,72735,,0,0,,RPRTMLLKPHOFFBF88CA
林口區,房地(土地+建物)+車位,新北市林口區中山路571~600號,64.26,住,,,1080530,土地1建物1車位1,一層，二層，三層，四層，五層,五層,透天厝,住家用,鋼筋混凝土造,950526,179.48,3,3,3,有,有,10600000,59060,坡道平面,0,0,含增建或未登記建物。;,RPRNMLPKPHOFFBF68CA
泰山區,房地(土地+建物),新北市泰山區新生路5巷1~30號,33.65,住,,,1080531,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700908,97.5,3,2,1,有,無,5900000,60513,,0,0,,RPTRMLQKPHOFFBF76CA
新莊區,房地(土地+建物),新北市新莊區新泰路347巷8弄1~30號,22.98,住,,,1080528,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731218,88.47,3,1,2,有,無,6500000,73471,,0,0,,RPONNLSKPHOFFBF78CA
新莊區,房地(土地+建物),新北市新莊區瓊泰路1~30號,26.85,住,,,1080523,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690917,85.85,4,2,2,有,無,7800000,90856,,0,0,含增建或未登記建物。;,RPTRMLQLPHOFFBF86CA
新店區,房地(土地+建物)+車位,新北市新店區櫻花街121~150號,27.99,住,,,1080510,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080325,88.36,0,1,1,有,有,4550000,75188,坡道平面,39.15,850000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLLKPHOFFCF68CA
新店區,房地(土地+建物)+車位,新北市新店區櫻花街121~150號,68.84,住,,,1080624,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080325,180.19,2,2,2,有,有,10850000,69342,坡道平面,39.15,1070000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUOMLLKPHOFFCF78CA
新店區,房地(土地+建物),新北市新店區建國路151~180號,19.69,住,,,1080615,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,加強磚造,660208,52.8,2,1,1,有,無,7250000,137311,,0,0,含增建或未登記建物。;,RPXPMLLKPHOFFCF56CA
新店區,房地(土地+建物),新北市新店區北新路二段1~30號,17.03,住,,,1080506,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671205,66.75,3,1,1,有,無,7100000,106367,,0,0,,RPSNMLMKPHOFFCF58CA
新店區,房地(土地+建物),新北市新店區富貴街16巷1~30號,35.44,其他,,,1080604,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720126,86.87,3,2,1,有,有,4900000,56406,,0,0,,RPSNMLQKPHOFFCF98CA
新店區,房地(土地+建物),新北市新店區錦秀路41巷1~30號,35.16,住,,,1080611,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731228,119.37,3,2,2,有,無,5600000,46913,,0,0,,RPPNMLSKPHOFFCF88CA
淡水區,房地(土地+建物),新北市淡水區水源街二段34巷1~30號,21.31,住,,,1080622,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691103,87.83,9,0,9,有,無,3760000,42810,,0,0,隔9間套房,RPQRMLQKPHOFFEF76CA
汐止區,房地(土地+建物),新北市汐止區大同路一段301~330號,22.22,住,,,1080601,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670118,93.45,0,0,0,無,無,6300000,67416,,0,0,,RPQOMLLLQHOFFDF68CA
三重區,房地(土地+建物),新北市三重區忠孝路三段15巷16弄1~30號,21.2,住,,,1080603,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730712,85.27,2,1,1,有,無,10600000,124311,,0,0,含增建或未登記建物。;,RPPNMLMKPHOFFGF68CA
三重區,房地(土地+建物),新北市三重區車路頭街91~120號,24.6,住,,,1080601,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681029,95,4,2,2,有,無,7400000,77895,,0,0,含增建或未登記建物。;,RPXUMLMKPHOFFGF57CA
三重區,房地(土地+建物),新北市三重區三和路四段264巷2弄1~30號,34.8,住,,,1080610,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750205,104.41,3,1,2,有,無,7500000,71832,,0,0,二親等買賣,RPXOMLNLPHOFFGF17CA
三重區,房地(土地+建物),新北市三重區自強路二段74巷1~30號,25,住,,,1080623,土地3建物1車位0,一層，騎樓，地下層,五層,店面(店鋪),住家用,鋼筋混凝土造,771216,131.3,0,0,1,有,無,33800000,257426,,0,0,含增建或未登記建物。;,RPQRMLNLPHOFFGF76CA
